shortness-of-breath,"['Heart Attack', 'What Causes Abnormal Heart Rhythms?', 'Panic Disorder', 'What Is Hyperventilation?', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Cold and Flu', 'Bleeding', 'Beriberi', 'Hypovolemic Shock', 'Hypothermia', 'Ventricular Tachycardia', 'Caffeine Overdose: How Much Is Too Much?', 'Pulmonary Embolism', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Atrial Flutter', 'Epidural Hematoma', 'Atrial Fibrillation and Flutter', 'Cardiac Tamponade', 'Hypertrophic Cardiomyopathy', 'Multifocal Atrial Tachycardia and Your Heart']"
fast-heart-rate,"['Low Blood Sugar (Hypoglycemia)', 'Bleeding', 'What Causes Abnormal Heart Rhythms?', 'Panic Disorder', 'Dehydration', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Caffeine Overdose: How Much Is Too Much?', 'Hypovolemic Shock', 'Motion Sickness', 'Beriberi', 'Atrial Fibrillation and Flutter', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Abdominal Aortic Aneurysm', 'Pulmonary Embolism', 'Agoraphobia', 'Toxic Megacolon', 'Carbon Monoxide Poisoning', 'Acute Mountain Sickness', 'What Is a Drug Allergy?', 'Addisonian Crisis (Acute Adrenal Crisis)']"
vomiting,"['Motion Sickness', 'Labyrinthitis', 'Viral Gastroenteritis (Stomach Flu)', ""Meniere's Disease"", 'Heart Attack', 'What Do You Want to Know About Pregnancy?', 'Panic Disorder', 'Peptic Ulcer', 'Beriberi', 'Cold and Flu', 'Benign Positional Vertigo (BPV)', 'Hyperemesis Gravidarum', 'Caffeine Overdose: How Much Is Too Much?', 'Epidural Hematoma', 'Ectopic Pregnancy', 'Abdominal Aortic Aneurysm', 'Marine Animal Bites or Stings', 'Focal Onset Seizures (Partial Seizures)', 'Carbon Monoxide Poisoning', 'Toxic Shock Syndrome']"
abnormal-heart-rhythms,"['Low Blood Sugar (Hypoglycemia)', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Atrial Fibrillation and Flutter', 'Everything You Need to Know About Stroke', 'Heart Attack', 'Dehydration', 'Panic Disorder', 'Beriberi', 'Hypovolemic Shock', 'What Is a Drug Allergy?', 'Caffeine Overdose: How Much Is Too Much?', 'Pulmonary Embolism', 'Abdominal Aortic Aneurysm', 'Anorexia Nervosa', 'Marine Animal Bites or Stings', 'Carbon Monoxide Poisoning', 'Toxic Megacolon', 'Snake Bites', 'Acute Mountain Sickness']"
fainting,"['Low Blood Sugar (Hypoglycemia)', 'What Is Hypotension?', 'Heart Attack', 'What Causes Abnormal Heart Rhythms?', 'Panic Disorder', 'Ventricular Tachycardia', 'What Do You Want to Know About Pregnancy?', 'What Is a Drug Allergy?', 'Anorexia Nervosa', 'Pulmonary Embolism', 'Cardiac Tamponade', 'Sick Sinus Syndrome', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Ectopic Pregnancy', 'Atrial Fibrillation and Flutter', 'Multifocal Atrial Tachycardia and Your Heart', 'Hyperemesis Gravidarum', 'Carbon Monoxide Poisoning', 'Fertilizer and Plant Food Poisoning', 'Post-Traumatic Stress Disorder (PTSD)']"
heart-rate-altered,"['Low Blood Sugar (Hypoglycemia)', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Everything You Need to Know About Stroke', 'Heart Attack', 'Dehydration', 'Panic Disorder', 'Hypovolemic Shock', 'Beriberi', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Caffeine Overdose: How Much Is Too Much?', 'Pulmonary Embolism', 'Abdominal Aortic Aneurysm', 'Atrial Fibrillation and Flutter', 'Toxic Megacolon', 'Anorexia Nervosa', 'Carbon Monoxide Poisoning', 'Snake Bites', 'Marine Animal Bites or Stings', 'What Is a Drug Allergy?', 'Acute Mountain Sickness']"
fatigue,"['Low Blood Sugar (Hypoglycemia)', 'Dehydration', 'Cold and Flu', 'Bleeding', 'Common Cold Overview', 'Everything You Need to Know About Fibromyalgia', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'What Is Hyperventilation?', 'Anorexia Nervosa', 'Heat Emergencies', 'Hypovolemic Shock', 'What Do You Want to Know About Pregnancy?', 'Whiplash', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Atrial Fibrillation and Flutter', 'Atherosclerosis', 'Peptic Ulcer', 'Chemical Burns', 'Understanding Multiple Sclerosis (MS)', 'Addisonian Crisis (Acute Adrenal Crisis)']"
fluttering-heart,"['Low Blood Sugar (Hypoglycemia)', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'Heart Attack', 'What Is Hyperventilation?', 'Panic Disorder', 'Ventricular Tachycardia', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Atrial Fibrillation and Flutter', 'Pulmonary Embolism', 'Cardiac Tamponade', 'What Is a Drug Allergy?', 'Hypertrophic Cardiomyopathy', 'Multifocal Atrial Tachycardia and Your Heart', 'Post-Traumatic Stress Disorder (PTSD)', 'Wolff-Parkinson-White Syndrome']"
anxiety,"['Panic Disorder', 'What Is Hyperventilation?', 'Caffeine Overdose: How Much Is Too Much?', 'Post-Traumatic Stress Disorder (PTSD)', 'Heart Attack', 'Agoraphobia', 'Whiplash', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Cardiac Tamponade', 'Post-Concussion Syndrome', 'Atrial Flutter', 'Abdominal Aortic Aneurysm', 'Pulmonary Embolism', 'Everything You Should Know About Menopause', 'Understanding Multiple Sclerosis (MS)']"
general-weakness,"['Low Blood Sugar (Hypoglycemia)', 'Everything You Need to Know About Stroke', 'Bleeding', 'Heart Attack', 'Cold and Flu', 'Common Cold Overview', 'Everything You Need to Know About High Blood Pressure (Hypertension)', 'What Do You Want to Know About Pregnancy?', 'What Is Hyperventilation?', 'Heat Emergencies', 'Hypovolemic Shock', 'Everything You Need to Know About Fibromyalgia', 'Whiplash', 'Paroxysmal Supraventricular Tachycardia (PSVT)', 'Caffeine Overdose: How Much Is Too Much?', 'Transient Ischemic Attack (Ministroke)', 'Atrial Flutter', 'Atrial Fibrillation and Flutter', 'Atherosclerosis', 'Peptic Ulcer']"
